full_name,selling_price,new_price,year,seller_type,seller_type,km_driven,fuel_type,fuel_type,transmission_type,transmission_type,Mileage,Engine,Seats
Maruti Ciaz VXi Plus,5.3,New Car (On-Road Price) : Rs.9.42-12.72 Lakh*,2015,Individual,0,70000,Petrol,0,Manual,0,20.73,1373,5
Tata Tiago 1.2 Revotron XZ,5.3,New Car (On-Road Price) : Rs.5.53-7.82 Lakh*,2016,Individual,0,9500,Petrol,0,Manual,0,23.84,1199,5
Hyundai Verna 1.6 VTVT S,6.5,New Car (On-Road Price) : Rs.10.18-15.87 Lakh*,2015,Individual,0,9100,Petrol,0,Manual,0,17.01,1591,5
Honda New Accord 2008-2011 2.4 MT,4.95,null,2010,Dealer,1,82000,Petrol,0,Manual,0,12.8,2354,5
Honda City 1.5 S MT,3.35,New Car (On-Road Price) : Rs.12.24-16.17 Lakh*,2010,Dealer,1,86000,Petrol,0,Manual,0,17,1497,5
Audi Q5 40 TDI Technology,46.75,null,2020,Dealer,1,19000,Diesel,1,Automatic,1,17.01,1968,5
Audi A4 2.0 TDI,12.9,null,2013,Dealer,1,78000,Diesel,1,Automatic,1,16.55,1968,5
Ford Figo Diesel Titanium,3,null,2011,Individual,0,60000,Diesel,1,Manual,0,20,1399,5
Maruti Wagon R ZXI AMT 1.2BSIV,5.5,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2019,Trustmark Dealer,2,7883,Petrol,0,Automatic,1,21.5,1197,5
Maruti Swift Dzire LDI,3.9,null,2013,Trustmark Dealer,2,50205,Diesel,1,Manual,0,23.4,1248,5
Mahindra Bolero DI AC BSIII,2.6,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,2008,Individual,0,220000,Diesel,1,Manual,0,13.6,2523,7
Tata Tigor 1.05 Revotorq XT,3.95,null,2017,Dealer,1,58000,Diesel,1,Manual,0,24.7,1047,5
Mahindra Scorpio SLE BSIII,5.5,New Car (On-Road Price) : Rs.14.90-19.43 Lakh*,2012,Individual,0,170000,Diesel,1,Manual,0,12.05,2179,8
Maruti Swift Dzire VXI 1.2 BS IV,6.5,New Car (On-Road Price) : Rs.6.62-9.95 Lakh*,2018,Individual,0,15000,Petrol,0,Manual,0,22,1197,5
Maruti Swift DDiS LDI,3.75,null,2016,Dealer,1,71245,Diesel,1,Manual,0,28.4,1248,5
Tata Manza ELAN Quadrajet BS IV,3,null,2012,Individual,0,20000,Diesel,1,Manual,0,21.12,1248,5
Toyota Etios VX,4.5,null,2016,Dealer,1,52000,Petrol,0,Manual,0,16.78,1496,5
Honda Brio S MT,3.35,null,2015,Individual,0,61000,Petrol,0,Manual,0,19.4,1198,5
Kia Seltos GTK,13,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,2019,Individual,0,7000,Petrol,0,Manual,0,16.1,1353,5
Maruti Alto K10 VXI,3.6,null,2018,Individual,0,20000,Petrol,0,Manual,0,23.95,998,5
Maruti Celerio ZXI,5.05,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,2020,Individual,0,8700,Petrol,0,Manual,0,21.63,998,5
Maruti Alto 800 LXI,3.1,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2019,Individual,0,25000,Petrol,0,Manual,0,24.7,796,5
Hyundai i20 Asta Option BSIV,5.45,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2015,Dealer,1,42000,Petrol,0,Manual,0,18.6,1197,5
Mahindra Xylo E4,3,null,2009,Individual,0,120000,Diesel,1,Manual,0,14,2498,7
Chevrolet Aveo 1.4 LS Limited Edition,2,null,2009,Individual,0,60000,Petrol,0,Manual,0,14.4,1399,5
Mahindra Bolero DI,1.5,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2006,Individual,0,120000,Diesel,1,Manual,0,13.6,2523,7
Maruti Baleno Delta 1.2,5.8,New Car (On-Road Price) : Rs.6.58-10.17 Lakh*,2018,Individual,0,50000,Petrol,0,Manual,0,21.4,1197,5
Maruti Wagon R VXI BS IV,2.5,New Car (On-Road Price) : Rs.5.35-7.13 Lakh*,2011,Individual,0,58000,Petrol,0,Manual,0,18.9,998,5
Hyundai Verna 1.4 VTVT,6.5,New Car (On-Road Price) : Rs.10.54-16.52 Lakh*,2017,Individual,0,36000,Petrol,0,Manual,0,17.43,1396,5
Maruti SX4 S Cross DDiS 200 Zeta,8,null,2016,Individual,0,80000,Diesel,1,Manual,0,23.65,1248,5
Audi Q3 2.0 TDI Quattro Premium Plus,14.75,null,2013,Dealer,1,71000,Diesel,1,Automatic,1,15.73,1968,5
Maruti Ertiga VDI,4.1,null,2018,Individual,0,30000,Diesel,1,Manual,0,25.47,1248,7
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.31,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2015,Dealer,1,162828,Diesel,1,Manual,0,22.77,1498,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,8.9,null,2018,Individual,0,7500,Diesel,1,Manual,0,23,1498,5
Tata Safari Storme EX,7.75,null,2016,Dealer,1,47227,Diesel,1,Manual,0,14,2179,7
Maruti Wagon R CNG LXI BSIV,4.35,New Car (On-Road Price) : Rs.6.15-6.23 Lakh*,2018,Dealer,1,52000,CNG,2,Manual,0,33.54,998,5
Ford Figo Diesel ZXI,1.85,New Car (On-Road Price) : Rs.8.96-9.46 Lakh*,2012,Dealer,1,74000,Diesel,1,Manual,0,20,1399,5
Mahindra Bolero 2011-2019 SLX,4.4,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2011,Dealer,1,47000,Diesel,1,Manual,0,15.96,2523,7
Hyundai i20 Sportz 1.2,4.5,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2015,Individual,0,50000,Petrol,0,Manual,0,18.6,1197,5
Maruti Baleno Zeta 1.2,6,New Car (On-Road Price) : Rs.6.93-10.63 Lakh*,2017,Individual,0,100000,Petrol,0,Manual,0,21.4,1197,5
Maruti Celerio VXI,3.2,New Car (On-Road Price) : Rs.5.12-6.48 Lakh*,2014,Individual,0,35000,Petrol,0,Manual,0,23.1,998,5
Hyundai i20 Active 1.4 SX,7,null,2016,Individual,0,50000,Diesel,1,Manual,0,21.19,1396,5
Ford Aspire 1.2 Ti-VCT Titanium,6.3,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,2018,Individual,0,10000,Petrol,0,Manual,0,18.16,1196,5
Maruti Alto 800 VXI Airbag,3.2,New Car (On-Road Price) : Rs.3.47-4.65 Lakh*,2016,Individual,0,10370,Petrol,0,Manual,0,22.74,796,5
Honda City V MT,4.65,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2013,Dealer,1,62000,Petrol,0,Manual,0,16.8,1497,5
Tata Manza Aura Quadrajet BS IV,2.75,null,2011,Individual,0,70000,Diesel,1,Manual,0,21.12,1248,5
Nissan Sunny Diesel XL,3.7,null,2013,Individual,0,250000,Diesel,1,Manual,0,21.64,1461,5
Hyundai i20 Sportz 1.2,5.5,null,2016,Individual,0,40000,Petrol,0,Manual,0,18.6,1197,5
Maruti Swift VVT VXI,4.45,New Car (On-Road Price) : Rs.6.29-9.14 Lakh*,2017,Individual,0,60000,Petrol,0,Manual,0,22,1197,5
Tata Safari Storme VX,7.05,null,2013,Dealer,1,67231,Diesel,1,Manual,0,14,2179,7
Maruti Wagon R CNG LXI BSIV,2.7,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,2013,Dealer,1,64000,CNG,2,Manual,0,33.54,998,5
Nissan Micra Diesel XV,4.2,null,2012,Dealer,1,142587,Diesel,1,Manual,0,23.08,1461,5
Honda City i DTec SV,4.75,null,2014,Dealer,1,63000,Diesel,1,Manual,0,26,1498,5
Toyota Fortuner 4x4 MT,17.55,New Car (On-Road Price) : Rs.38.86-44.64 Lakh*,2015,Individual,0,80000,Diesel,1,Manual,0,12.55,2982,7
Honda City 2017-2020 VTEC,3.5,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2011,Dealer,1,55000,Petrol,0,Manual,0,16.9,1497,5
Hyundai i20 2015-2017 Sportz Option 1.2,5.75,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,1,11000,Petrol,0,Manual,0,18.6,1197,5
Toyota Etios Liva GD,4.66,null,2016,Dealer,1,66000,Diesel,1,Manual,0,23.59,1364,5
Renault KWID 1.0 RXT Optional,3.6,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,2017,Individual,0,17000,Petrol,0,Manual,0,23.01,999,5
Maruti Alto 800 VXI Optional,2.75,New Car (On-Road Price) : Rs.3.47-4.65 Lakh*,2017,Individual,0,25000,Petrol,0,Manual,0,24.7,796,5
Datsun GO Plus D,3.2,New Car (On-Road Price) : Rs.4.71-7.74 Lakh*,2016,Individual,0,33350,Petrol,0,Manual,0,19.44,1198,7
Maruti Omni 5 Str STD,0.95,null,2000,Individual,0,45000,Petrol,0,Manual,0,14,796,5
Hyundai Grand i10 Magna,3.7,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2015,Dealer,1,62000,Petrol,0,Manual,0,18.9,1197,5
Honda Brio E MT,2.5,null,2013,Individual,0,30000,Petrol,0,Manual,0,19.4,1198,5
Maruti Swift Dzire ZXi,2.75,New Car (On-Road Price) : Rs.6.62-9.95 Lakh*,2009,Individual,0,59000,Petrol,0,Manual,0,17.5,1298,5
Mercedes-Benz GLA AMG 45 4MATIC,19.5,null,2015,Dealer,1,20000,Petrol,0,Automatic,1,12.33,1991,5
Honda City i VTEC V,5.5,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2014,Dealer,1,86113,Petrol,0,Manual,0,17.4,1497,5
Toyota Corolla Altis Diesel D4DG,13.25,null,2016,Dealer,1,45000,Diesel,1,Manual,0,21.43,1364,5
Maruti Swift Dzire VDI,7.5,null,2018,Individual,0,10000,Diesel,1,Manual,0,28.4,1248,5
Nissan Micra XV,2.9,null,2011,Dealer,1,70000,Petrol,0,Manual,0,18.06,1198,5
Maruti Wagon R VXI,2.72,New Car (On-Road Price) : Rs.5.35-7.13 Lakh*,2015,Individual,0,92537,Petrol,0,Manual,0,20.51,998,5
Maruti Ciaz 1.3 Alpha,9.51,null,2019,Dealer,1,27645,Diesel,1,Manual,0,28.09,1248,5
Maruti Alto K10 2010-2014 VXI,2.8,null,2013,Individual,0,46242,Petrol,0,Manual,0,20.92,998,5
Honda City V MT AVN,5.45,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,0,70000,Petrol,0,Manual,0,16.8,1497,5
Renault KWID RXT,4.5,null,2020,Individual,0,6000,Petrol,0,Manual,0,22.3,799,5
Hyundai i20 2015-2017 Magna 1.2,4.8,New Car (On-Road Price) : Rs.7.70-12.78 Lakh*,2017,Dealer,1,64000,Petrol,0,Manual,0,18.6,1197,5
Mahindra Scorpio 1.99 S10,10.6,New Car (On-Road Price) : Rs.15.21-19.61 Lakh*,2017,Dealer,1,93000,Diesel,1,Manual,0,15.4,1997,7
Maruti Alto 800 LXI,2.35,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2013,Dealer,1,26200,Petrol,0,Manual,0,22.74,796,5
Maruti Baleno Zeta 1.2,5.9,New Car (On-Road Price) : Rs.6.75-10.35 Lakh*,2017,Individual,0,25000,Petrol,0,Manual,0,21.4,1197,5
Mahindra TUV 300 mHAWK100 T8 Dual Tone,7.5,null,2017,Individual,0,80000,Diesel,1,Manual,0,18.49,1493,7
Hyundai Santro AT,0.71,New Car (On-Road Price) : Rs.5.33-7.27 Lakh*,2004,Individual,0,110000,Petrol,0,Automatic,1,15,999,5
Mahindra TUV 300 T4,4.5,null,2016,Individual,0,70000,Diesel,1,Manual,0,18.49,1493,7
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,29.5,New Car (On-Road Price) : Rs.39.97-46.24 Lakh*,2018,Dealer,1,50000,Diesel,1,Automatic,1,12.9,2755,7
Hyundai Santro Xing GLS,1.1,null,2008,Individual,0,80000,Petrol,0,Manual,0,17.92,1086,5
Mahindra Scorpio M2DI,2.8,New Car (On-Road Price) : Rs.15.50-20.09 Lakh*,2007,Individual,0,110000,Diesel,1,Manual,0,13.5,2179,5
Audi A4 30 TFSI Premium Plus,18.51,New Car (On-Road Price) : Rs.48.80-53.76 Lakh*,2016,Dealer,1,55000,Petrol,0,Automatic,1,17.84,1395,5
Honda City i-VTEC S,7.5,New Car (On-Road Price) : Rs.12.80-17.01 Lakh*,2018,Individual,0,25000,Petrol,0,Manual,0,17.4,1497,5
Hyundai Grand i10 Magna,4,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2015,Dealer,1,36000,Petrol,0,Manual,0,18.9,1197,5
Maruti Swift Dzire ZDI,5.3,null,2015,Individual,0,40000,Diesel,1,Manual,0,26.59,1248,5
Mahindra Thar CRDe,8.7,New Car (On-Road Price) : Rs.14.12-16.20 Lakh*,2018,Individual,0,25000,Diesel,1,Manual,0,16.55,2498,6
Renault KWID RXL,2.95,New Car (On-Road Price) : Rs.3.43-5.78 Lakh*,2018,Dealer,1,30038,Petrol,0,Manual,0,25.17,799,5
Tata Tiago 1.05 Revotorq XE,3.7,null,2017,Individual,0,53000,Diesel,1,Manual,0,27.28,1047,5
Maruti Swift VXI,5.3,New Car (On-Road Price) : Rs.6.35-9.30 Lakh*,2018,Individual,0,5000,Petrol,0,Manual,0,21.21,1197,5
Hyundai Xcent 1.1 CRDi SX Option,6,null,2014,Individual,0,41217,Diesel,1,Manual,0,24.4,1120,5
Renault KWID Climber 1.0 AMT,3.5,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2017,Individual,0,35000,Petrol,0,Automatic,1,24.04,999,5
Ford Ecosport 1.5 DV5 MT Titanium,4.7,New Car (On-Road Price) : Rs.10.05-13.48 Lakh*,2013,Dealer,1,62000,Diesel,1,Manual,0,22.7,1498,5
Ford Aspire 1.5 TDCi Trend,3.9,New Car (On-Road Price) : Rs.9.62-10.01 Lakh*,2015,Individual,0,42000,Diesel,1,Manual,0,25.83,1498,5
Ambassador Avigo 2000 DSZ,1.16,null,2005,Individual,0,120000,Diesel,1,Manual,0,13.2,1995,5
Mahindra Scorpio S10 7 Seater,9.2,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2015,Individual,0,80000,Diesel,1,Manual,0,15.4,2179,7
Mahindra XUV500 W8 2WD,5.5,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2013,Individual,0,60000,Diesel,1,Manual,0,15.1,2179,7
Hyundai Verna 1.6 SX,6.35,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2014,Individual,0,45000,Diesel,1,Manual,0,22.32,1582,5
Mahindra XUV500 AT W8 FWD,12.5,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2017,Dealer,1,50000,Diesel,1,Automatic,1,16,2179,7
Maruti Alto 800 VXI,3,New Car (On-Road Price) : Rs.3.47-4.65 Lakh*,2018,Individual,0,12000,Petrol,0,Manual,0,24.7,796,5
Honda City i-VTEC CVT V,9.6,New Car (On-Road Price) : Rs.12.80-17.01 Lakh*,2018,Individual,0,12000,Petrol,0,Automatic,1,18,1497,5
Maruti Vitara Brezza VDi Option,7.5,null,2018,Individual,0,15000,Diesel,1,Manual,0,24.3,1248,5
Volkswagen Polo Petrol Trendline 1.2L,2.49,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,2011,Dealer,1,63000,Petrol,0,Manual,0,16.47,1198,5
Tata Hexa XT,14,New Car (On-Road Price) : Rs.14.10 Lakh*,2018,Individual,0,30000,Diesel,1,Manual,0,17.6,2179,7
Ford Figo Diesel ZXI,2.5,New Car (On-Road Price) : Rs.8.84-9.53 Lakh*,2011,Individual,0,160800,Diesel,1,Manual,0,20,1399,5
Hyundai Verna 1.6 SX,6.1,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,0,120000,Diesel,1,Manual,0,22.32,1582,5
Maruti Zen Estilo VXI BSIII,1.65,null,2010,Dealer,1,62821,Petrol,0,Manual,0,18.2,998,5
Ford Ecosport 2015-2021 1.5 Diesel Ambiente,5.45,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2016,Dealer,1,78247,Diesel,1,Manual,0,21.7,1498,5
Hyundai Verna 1.6 CRDi EX MT,4.8,New Car (On-Road Price) : Rs.11.32-15.88 Lakh*,2013,Individual,0,113000,Diesel,1,Manual,0,22.32,1582,5
Hyundai i20 2015-2017 Asta Option 1.2,3.95,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2014,Dealer,1,52000,Petrol,0,Manual,0,18.6,1197,5
Toyota Innova 2.5 G (Diesel) 7 Seater,4.95,null,2012,Dealer,1,109000,Diesel,1,Manual,0,12.99,2494,7
Ford Figo Aspire Facelift,5.5,New Car (On-Road Price) : Rs.9.28-9.66 Lakh*,2017,Individual,0,15000,Diesel,1,Manual,0,15,1498,7
Hyundai Grand i10 Asta Option,4.7,New Car (On-Road Price) : Rs.6.81-7.16 Lakh*,2017,Individual,0,90000,Petrol,0,Manual,0,18.9,1197,5
Tata Indica eXeta eGLX,2,null,2011,Individual,0,35000,Petrol,0,Manual,0,16.84,1193,5
Skoda Laura 1.9 TDI MT Ambiente,2.8,null,2010,Individual,0,90000,Diesel,1,Manual,0,17,1896,5
Chevrolet Aveo 1.4 LS Limited Edition,1.49,null,2008,Dealer,1,62001,Petrol,0,Manual,0,14.4,1399,5
Volkswagen Polo Diesel Trendline 1.2L,2,null,2011,Dealer,1,98000,Diesel,1,Manual,0,22.07,1199,5
Hyundai i20 Active 1.4 SX,6.99,null,2016,Individual,0,20000,Diesel,1,Manual,0,21.19,1396,5
Toyota Corolla Altis 1.8 G,3.15,null,2010,Dealer,1,57000,Petrol,0,Manual,0,14.28,1798,5
Maruti Wagon R VXI,3.4,New Car (On-Road Price) : Rs.5.36-7.12 Lakh*,2014,Individual,0,21717,Petrol,0,Manual,0,20.51,998,5
Renault Duster 85PS Diesel RxL,5,null,2014,Individual,0,40000,Diesel,1,Manual,0,20.45,1461,5
Honda City i-VTEC ZX,10.5,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2017,Individual,0,50000,Petrol,0,Manual,0,17.14,1497,5
Renault Duster 110PS Diesel RxZ,6,null,2016,Individual,0,90000,Diesel,1,Manual,0,19.6,1461,5
Fiat Avventura Urban Cross 1.3 Multijet Active,4.78,null,2017,Individual,0,90000,Diesel,1,Manual,0,20.5,1248,5
Maruti Swift VXI Optional,4.91,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2017,Dealer,1,27876,Petrol,0,Manual,0,20.4,1197,5
Land Rover Discovery Sport Si4 HSE,28.9,New Car (On-Road Price) : Rs.70.25-74.15 Lakh*,2016,Dealer,1,56000,Petrol,0,Automatic,1,12.63,1999,5
Hyundai i10 Asta,1.6,null,2008,Individual,0,57215,Petrol,0,Manual,0,20.36,1197,5
Hyundai Venue SX Turbo BSIV,9.85,New Car (On-Road Price) : Rs.8.06-13.75 Lakh*,2019,Dealer,1,5400,Petrol,0,Manual,0,18.27,998,5
Maruti Swift Dzire VDI,5,null,2014,Individual,0,60000,Diesel,1,Manual,0,23.4,1248,5
Tata Tiago 1.2 Revotron XT,3.35,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,2017,Individual,0,24800,Petrol,0,Manual,0,23.84,1199,5
Maruti Alto LXi BSIII,0.85,null,2005,Individual,0,70000,Petrol,0,Manual,0,19.7,796,5
Honda BRV i-DTEC VX MT,9.5,null,2016,Dealer,1,59450,Diesel,1,Manual,0,21.9,1498,7
Honda Jazz VX CVT,7.4,New Car (On-Road Price) : Rs.8.51-10.96 Lakh*,2018,Dealer,1,20000,Petrol,0,Automatic,1,17.1,1199,5
Tata Indica Vista Terra 1.4 TDI,2,null,2010,Individual,0,90000,Diesel,1,Manual,0,17,1405,5
Maruti Swift VXI,3.75,New Car (On-Road Price) : Rs.6.04-8.98 Lakh*,2013,Dealer,1,34553,Petrol,0,Manual,0,22,1197,5
Maruti Vitara Brezza VDi,8.1,null,2018,Individual,0,40000,Diesel,1,Manual,0,24.3,1248,5
Volkswagen Polo Petrol Trendline 1.2L,1.73,null,2010,Individual,0,350000,Petrol,0,Manual,0,16.47,1198,5
Maruti Vitara Brezza VDi,7,null,2017,Individual,0,50000,Diesel,1,Manual,0,24.3,1248,5
Mahindra KUV 100 mFALCON D75 K4,3.1,null,2016,Individual,0,70000,Diesel,1,Manual,0,25.32,1198,6
Mahindra Scorpio 1.99 S4,8.5,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Individual,0,120000,Diesel,1,Manual,0,15.4,1997,7
Hyundai i20 Era 1.4 CRDi,2.85,New Car (On-Road Price) : Rs.9.60-12.74 Lakh*,2013,Individual,0,90000,Diesel,1,Manual,0,22.54,1396,5
Maruti Swift Dzire VDI,4.5,null,2014,Individual,0,120000,Diesel,1,Manual,0,23.4,1248,5
Hyundai Creta 1.6 CRDi SX,11,New Car (On-Road Price) : Rs.12.32-20.80 Lakh*,2017,Individual,0,80000,Diesel,1,Manual,0,19.67,1582,5
Mahindra Xylo E4 BS IV,3.5,null,2011,Individual,0,155000,Diesel,1,Manual,0,14,2498,7
Mahindra Scorpio 1.99 S6 Plus,10.8,New Car (On-Road Price) : Rs.14.79-19.20 Lakh*,2017,Individual,0,30000,Diesel,1,Manual,0,15.4,1997,7
Honda City i DTEC V,5.3,New Car (On-Road Price) : Rs.14.00-16.49 Lakh*,2014,Dealer,1,66100,Diesel,1,Manual,0,26,1498,5
Maruti Swift Dzire VDI,6.8,null,2017,Individual,0,50000,Diesel,1,Manual,0,28.4,1248,5
Mahindra Scorpio 1.99 S4 Plus,10.25,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Dealer,1,42000,Diesel,1,Manual,0,15.4,1997,7
Hyundai i20 1.2 Spotz,6.5,New Car (On-Road Price) : Rs.7.97-13.46 Lakh*,2017,Individual,0,55000,Petrol,0,Manual,0,18.6,1197,5
Hyundai i10 Magna,1.94,null,2012,Dealer,1,110699,Petrol,0,Manual,0,20.36,1197,5
Maruti Baleno Delta Automatic,6.86,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2019,Individual,0,5000,Petrol,0,Automatic,1,21.4,1197,5
Maruti Alto 800 LXI,2,New Car (On-Road Price) : Rs.3.32-4.49 Lakh*,2016,Individual,0,50000,Petrol,0,Manual,0,22.74,796,5
Maruti Swift Dzire VXI,2.5,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,2010,Dealer,1,44000,Petrol,0,Manual,0,19.1,1197,5
Maruti Vitara Brezza VDi Option,7.3,null,2018,Individual,0,90000,Diesel,1,Manual,0,24.3,1248,5
Hyundai Verna 1.6 VTVT SX,6.5,New Car (On-Road Price) : Rs.10.54-16.52 Lakh*,2016,Dealer,1,55000,Petrol,0,Manual,0,17.01,1591,5
Maruti Vitara Brezza ZDi Plus Dual Tone,7.9,null,2017,Dealer,1,45000,Diesel,1,Manual,0,24.3,1248,5
Maruti Baleno Zeta 1.2,6.2,New Car (On-Road Price) : Rs.6.93-10.63 Lakh*,2017,Individual,0,30000,Petrol,0,Manual,0,21.4,1197,5
Hyundai Verna 1.6 VTVT,5.1,New Car (On-Road Price) : Rs.9.53-14.63 Lakh*,2013,Individual,0,50000,Petrol,0,Manual,0,17.01,1591,5
Hyundai Santro Xing XL,1.15,null,2005,Individual,0,120000,Petrol,0,Manual,0,15,1086,5
Maruti Eeco 5 Seater AC BSIV,3.75,New Car (On-Road Price) : Rs.4.63-5.09 Lakh*,2013,Individual,0,20000,Petrol,0,Manual,0,15.37,1196,5
Nissan Terrano XV 110 PS,5.25,null,2015,Dealer,1,69000,Diesel,1,Manual,0,19.01,1461,5
Maruti Swift Dzire AMT VXI,6.2,New Car (On-Road Price) : Rs.6.74-10.04 Lakh*,2017,Trustmark Dealer,2,19843,Petrol,0,Automatic,1,21.21,1197,5
Tata Indigo LS (TDI) BS-III,2.7,null,2014,Individual,0,20000,Diesel,1,Manual,0,19.09,1405,5
Ford Endeavour 3.0L 4X4 AT,9.5,New Car (On-Road Price) : Rs.35.00-41.93 Lakh*,2011,Individual,0,30000,Diesel,1,Automatic,1,11.4,2953,7
Toyota Innova Crysta 2016-2020 2.4 G MT,14.5,New Car (On-Road Price) : Rs.19.90-29.90 Lakh*,2017,Dealer,1,52300,Diesel,1,Manual,0,13.68,2393,7
Honda City i VTEC CVT SV,8.45,New Car (On-Road Price) : Rs.12.24-16.17 Lakh*,2016,Individual,0,40000,Petrol,0,Automatic,1,18,1497,5
Maruti Swift Dzire LDI,3.9,null,2014,Dealer,1,61500,Diesel,1,Manual,0,23.4,1248,5
Honda Amaze S i-Vtech,3.95,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,2015,Dealer,1,59000,Petrol,0,Manual,0,18,1198,5
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,4.5,New Car (On-Road Price) : Rs.6.99-7.35 Lakh*,2018,Individual,0,40000,Petrol,0,Manual,0,18.9,1197,5
Audi A6 2.0 TDI,17,null,2013,Individual,0,60000,Diesel,1,Automatic,1,17.68,1968,5
Hyundai Grand i10 Magna,3.25,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2013,Dealer,1,61000,Petrol,0,Manual,0,18.9,1197,5
Mahindra KUV 100 mFALCON D75 K4,3.5,null,2016,Individual,0,70000,Diesel,1,Manual,0,25.32,1198,6
Mahindra XUV500 W8 2WD,6.5,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2013,Dealer,1,63000,Diesel,1,Manual,0,15.1,2179,7
Mercedes-Benz E-Class E 200 CGI,12.5,New Car (On-Road Price) : Rs.72.29-1.72 Cr*,2012,Dealer,1,58000,Petrol,0,Manual,0,12.3,1796,5
Maruti Zen Estilo VXI BSIV,2.2,null,2013,Individual,0,40000,Petrol,0,Manual,0,19,998,5
Mahindra Quanto C8,3.5,null,2015,Individual,0,49000,Diesel,1,Manual,0,17.21,1493,7
Maruti Swift Dzire VDI,7.5,null,2017,Individual,0,22000,Diesel,1,Manual,0,28.4,1248,5
Honda City 1.5 V MT,2.99,null,2010,Dealer,1,57977,Petrol,0,Manual,0,17,1497,5
Hyundai Xcent 1.1 CRDi Base,3.78,null,2016,Individual,0,70000,Diesel,1,Manual,0,24.4,1120,5
Land Rover Range Rover Evoque Convertible HSE Dynamic,70,New Car (On-Road Price) : Rs.67.94-72.54 Lakh*,2018,Dealer,1,13000,Petrol,0,Automatic,1,12.19,1997,4
Mini Cooper 3 DOOR S,13.25,New Car (On-Road Price) : Rs.39.82-54.03 Lakh*,2012,Dealer,1,67000,Petrol,0,Automatic,1,17.33,1998,4
Maruti Ertiga VDI,5.24,null,2014,Dealer,1,48242,Diesel,1,Manual,0,20.77,1248,7
Ford Figo Diesel EXI,1.69,New Car (On-Road Price) : Rs.8.62-9.29 Lakh*,2012,Dealer,1,68000,Diesel,1,Manual,0,20,1399,5
Maruti Ertiga ZDI,5,null,2014,Individual,0,40000,Diesel,1,Manual,0,20.77,1248,7
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,20,New Car (On-Road Price) : Rs.80.60 Lakh*,2012,Dealer,1,98000,Diesel,1,Automatic,1,12.07,2967,7
Maruti Swift Dzire VDI,3.8,null,2013,Individual,0,113450,Diesel,1,Manual,0,23.4,1248,5
Maruti Wagon R AMT VXI,4,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2018,Individual,0,80000,Petrol,0,Automatic,1,20.51,998,5
Hyundai Santro Sportz SE AMT BSIV,5.65,New Car (On-Road Price) : Rs.5.40-7.40 Lakh*,2020,Dealer,1,1000,Petrol,0,Automatic,1,20.3,1086,5
